sample_name	sample_name_original	barcode_prefix	sample_type	emp500_shotgun_assembly_sample_name	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	lcms_sampling_material	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	empo_4	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	read_count_shotgun_woltka_norm	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	alpha_shotgun_woltka_norm_10perc_min6550_richness	alpha_shotgun_woltka_norm_10perc_min6550_shannon	alpha_shotgun_woltka_norm_10perc_min6550_faithspd	alpha_shotgun_woltka_norm_10perc_rar6550_richness	alpha_shotgun_woltka_norm_10perc_rar6550_shannon	alpha_shotgun_woltka_norm_10perc_rar6550_faithspd	alpha_shotgun_woltka_norm_noSingletons_min6550_richness	alpha_shotgun_woltka_norm_noSingletons_min6550_shannon	alpha_shotgun_woltka_norm_noSingletons_min6550_faithspd	alpha_shotgun_woltka_norm_noSingletons_rar6550_richness	alpha_shotgun_woltka_norm_noSingletons_rar6550_shannon	alpha_shotgun_woltka_norm_noSingletons_rar6550_faithspd	alpha_lcms_cmn_microbial_shannon	alpha_lcms_cmn_microbial_richness	alpha_lcms_cmn_shannon	alpha_lcms_cmn_richness	alpha_lcms_fbmn_microbial_richness	alpha_lcms_fbmn_microbial_noSingletons_richness	alpha_gcms_filt50_shannon	alpha_gcms_filt50_richness	songbird_trainTest_5050_empo_3	songbird_trainTest_5050_env_material	songbird_trainTest_8020_empo_3	songbird_trainTest_8020_env_material	songbird_trainTest_8020_empo_4
13114.angenent.65.s002	Angenent65.misc.519	angenent.65.s002	bioreactor sludge	bioreactor_rumen	EMP_Feces_angenent_65_s002_a03_M_186	186	note applicable	UCSD	5A3_2_9_angenent-65-s002-a04.mzML	5A3_2_9_angenent-65-s002-a04	5	Bulk_201901_UCSD	Sample	Bulk	not applicable	9/27/12 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.519	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	12716323	5225016	6950525	6063059	701	1.936200456	107.7534568	59	1.933611494	15.86416458	1285	2.747569938	206.2669531	1283	2.747506689	205.8779513	155	2.755183181	46.08030645	1725	2.948038592194855	237.31374112580488	171	2.883559370046838	41.1043251943006	1725	2.948038592194855	237.31374112580488	171	2.883559370046838	41.1043251943006	4.828199665511621	59	7.468046545038554	523	2789	2789	3.039400502769452	191	Test	Test	Train	Train	Train
13114.angenent.65.s003	Angenent65.misc.946	angenent.65.s003	bioreactor sludge	bioreactor_rumen	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/28/13 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.104	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	1813547	70200	176825	80883	83	1.744580839	25.50812355	42	1.708295503	14.52886464	247	3.181673024	64.68124047	246	3.18146846	64.31125002	128	3.190719619	39.30473602	367	3.359841609929529	77.94837000965231	203	3.386903603995914	50.700824370783266	367	3.359841609929529	77.94837000965231	203	3.386903603995914	50.700824370783266	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train	Train
13114.angenent.65.s004	Angenent65.misc.1022	angenent.65.s004	bioreactor sludge	bioreactor_rumen	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	02/12/2014 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.519	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	3711056	79070	248347	99034	233	2.92324764	53.08956233	98	2.9435412	28.50804685	514	4.335267193	108.8680982	514	4.335267193	108.8680982	234	4.308235954	61.45145913	802	4.7290367908701985	136.23473332710114	336	4.661285670691537	72.43588676151467	802	4.7290367908701985	136.23473332710114	336	4.661285670691537	72.43588676151467	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train	Train
13114.angenent.65.s005	Angenent65.misc.1538	angenent.65.s005	bioreactor sludge	bioreactor_rumen	EMP_Feces_angenent_65_s005_a03_M_187	187	note applicable	UCSD	5A6_2_19_angenent-65-s005-a04.mzML	5A6_2_19_angenent-65-s005-a04	5	Bulk_201901_UCSD	Sample	Bulk	not applicable	7/13/15 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1538	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	4697336	884685	1473829	1086090	390	3.178508864	72.01594819	72	3.127986121	19.3422969	788	3.934924503	144.5528777	788	3.934924503	144.5528777	186	3.926034428	50.22961466	1248	4.3565235541338065	184.69221627835236	269	4.281280431152667	57.28560950692918	1248	4.3565235541338065	184.69221627835236	269	4.281280431152667	57.28560950692918	4.603226157638778	63	7.314869003271076	577	2784	2784	3.1343537584149304	179	Train	Train	Train	Train	Train
13114.angenent.65.s006	Angenent65.misc.1622	angenent.65.s006	bioreactor sludge	bioreactor_rumen	EMP_Feces_angenent_65_s006_a03_M_188	188	note applicable	UCSD	5A4_2_14_angenent-65-s006-a04.mzML	5A4_2_14_angenent-65-s006-a04	5	Bulk_201901_UCSD	Sample	Bulk	not applicable	10/05/2015 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1622	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	3123931	239342	295051	313622	146	2.269744281	39.85309097	53	2.147718791	18.64942329	364	3.589921461	91.10565935	364	3.589921461	91.10565935	142	3.514250326	44.6975924	557	3.780020801057693	110.45362163012146	213	3.7135638878507438	55.67361475295115	557	3.780020801057693	110.45362163012146	213	3.7135638878507438	55.67361475295115	3.7644817725100803	55	6.653789448041697	505	2808	2808	3.096653227193805	186	Test	Train	Train	Train	Train
13114.angenent.65.s007	Angenent65.misc.1722	angenent.65.s007	bioreactor sludge	bioreactor_rumen	EMP_Feces_angenent_65_s007_a03_M_189	189	note applicable	UCSD	5A2_2_3_angenent-65-s007-a04.mzML	5A2_2_3_angenent-65-s007-a04	5	Bulk_201901_UCSD	Sample	Bulk	not applicable	1/13/15 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1722	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	13106283	548054	1194312	663133	373	3.4378999710000002	71.95596657	117	3.47003205	30.45152722	842	4.53016746	149.9022944	842	4.53016746	149.9022944	217	4.503652564	56.93339701	1270	5.209623373577505	187.71226021156463	372	5.1112296791082406	80.36478785746795	1270	5.209623373577505	187.71226021156463	372	5.1112296791082406	80.36478785746795	5.098284968596056	61	5.894053151764727	644	2777	2777	3.279791763732321	186	Train	Train	Train	Train	Train
13114.angenent.65.s008	Angenent65.misc.1818	angenent.65.s008	bioreactor sludge	bioreactor_rumen	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/18/16 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1538	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	2356117	60252	175342	71593	124	1.940414928	33.61734045	57	1.958094704	19.52371866	310	3.489984429	74.94444006	310	3.489984429	74.94444006	172	3.449603392	47.1729514	516	3.4857049452554154	98.80600801842866	237	3.4113248538822836	57.28866324268165	516	3.4857049452554154	98.80600801842866	237	3.4113248538822836	57.28866324268165	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Test	Test
13114.angenent.65.s009	Angenent65.misc.1888	angenent.65.s009	bioreactor sludge	bioreactor_rumen	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/27/16 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1622	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	2632055	1005931	1935273	1294565	272	2.305943109	53.4924503	57	2.289068905	15.44320581	567	3.108905307	114.4902271	565	3.108852797	114.2926792	108	3.083574935	34.86077162	888	3.5162077672170367	146.656894718584	158	3.516514440802673	36.6566833206557	888	3.5162077672170367	146.656894718584	158	3.516514440802673	36.6566833206557	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Train	Train	Test	Test
13114.berry.2.s001	Berry2.sediment.Do5	berry.2.s001	sediment	sediment_lake	EMP_Feces_berry_2_s001_a03_M_258	258	note applicable	UCSD	1B7_1_28_berry-2-s001-a04.mzML	1B7_1_28_berry-2-s001-a04	1	Bulk_201901_UCSD	Sample	Bulk	not applicable	8/13/02 0:00	0.05	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do5	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	12858750	8206	19084	14383	374	6.129717655	78.67866328	326	6.098247593	70.36402907	722	7.307278394	171.3507656	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	992	7.954469560691367	168.4897115127394	829	7.876667066001345	147.3894343714844	992	7.954469560691367	168.4897115127394	829	7.876667066001345	147.3894343714844	2.1892630243020146	8	5.715546317127691	128	3819	3819	4.421527020917579	194	Train	Test	Train	Train	Train
13114.berry.2.s002	Berry2.sediment.Do15	berry.2.s002	sediment	sediment_lake	EMP_Feces_berry_2_s002_a03_M_090	90	note applicable	UCSD	1C10_1_44_berry-2-s002-a04.mzML	1C10_1_44_berry-2-s002-a04	1	Bulk_201901_UCSD	Sample	Bulk	not applicable	8/13/02 0:00	0.15	not applicable	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do15	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	13034781	7362	15373	13866	362	6.761690239	74.09397934	356	6.759768627	73.52023988	783	7.848542678	192.5521356	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	942	8.260038822340956	157.34714118898273	838	8.209321597129883	141.49701374650795	942	8.260038822340956	157.34714118898273	838	8.209321597129883	141.49701374650795	2.355356492212901	11	6.047456510348745	125	3910	3910	4.269473500956871	183	Test	Test	Train	Train	Train
